Building,ROOM,Type,Dept,Class,Title,Meeting_Dates,Meeting Days,Meeting_Times,Room_Capacity,Max_Enrl,Actual_Enrl,,,
SEH,103,CL,GENERAL POOL CLASSROOM,PA 527,NEW/EMERG NONPRFT: DVLP & MGMT,Sep 26-Dec 10,W,1600-1830,24,20,9,,,
,,,,,,,,,,,,,,
SEH,106,CL,GENERAL POOL CLASSROOM,FIN 473/ 573,INVST ANALYSIS-PORTFOLIO MGMT,Sep 26-Dec 10,M,1715-2050,24,15,3,,,
SEH,106,CL,GENERAL POOL CLASSROOM,LING 121,GRAMMAR/WRITING LEVEL 2,Sep 26-Dec 10,MWF,1015-1235,24,22,13,,,
SEH,106,CL,GENERAL POOL CLASSROOM,SPAN 510,TOP: LING SMNR:SOCIOLINGUISTCS,Sep 26-Dec 10,MWF,1400-1505,24,20,7,,,
SEH,106,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,R,1200-1350,24,20,14,,,
SEH,106,CL,GENERAL POOL CLASSROOM,LING 147,UNDERSTANDING ACADEMIC LECTURE,Sep 26-Dec 10,TR,1000-1150,24,22,17,,,
SEH,106,CL,GENERAL POOL CLASSROOM,HON 407,SEM: FREUD BETWEEN TWO CULTURE,Sep 26-Dec 10,TR,1400-1550,24,20,20,,,
SEH,106,CL,GENERAL POOL CLASSROOM,MTH 641,MODERN ALGEBRA I,Sep 26-Dec 10,TR,1715-1830,24,15,14,,,
SEH,106,CL,GENERAL POOL CLASSROOM,CH 384,ORG CHEM WORKSHOP I,Sep 26-Dec 10,W,1600-1750,24,12,12,,,
,,,,,,,,,,,,,,
SEH,107,CL,GENERAL POOL CLASSROOM,WR 121,COLLEGE WRITING,Sep 26-Dec 10,MW,0815-1005,24,20,19,,,
SEH,107,CL,GENERAL POOL CLASSROOM,LING 131,GRAMMAR/WRITING LEVEL 3,Sep 26-Dec 10,MWF,1015-1235,24,22,20,,,
